Identified_species_metagenomic,Identifed_species_Visual,Flowering_start,Flowering_end,Month_start,Month_end
Asparagus officinalis,A. Acutifolius,May,September,5,9
Brachypodium distachyon,B. distachyon,March,June,3,6
Ceratonia siliqua,C. siliqua,September,November,9,10
Cercis canadensis,C. siliquastrum or C. canadensis,March,May,3,5
Citrus sinensis,C. aurantium,April,May,4,5
Eucalyptus grandis,E. globulus,March,June,3,6
Medicago truncatula,M. orobrea,February,June,2,6
Olea europaea,O. europaea,April,May,4,5
Papaver somniferum,P. rhoeas,March,June,3,6
Phoenix dactilifera,P. washingtonias,March,June,3,6
Pinus taeda,P. halepensis,September,December,9,12
Pistacia vera,P. lentescus,April,June,4,6
Punica granatum,P. granatum,April,August,4,8
Raphanus sativus,R. raphanistrum,March,August,3,8
Tecomaria capensis,T. capensis,September,December,9,12
Trifolium repens and others,Various Trifolium,May,July,5,7
Vitis vinifera,V. vinifera subs. Silverstris,April,May,4,5
Zea mays,Z. mays,June,August,6,8
