Software,Species,Observed_Abundance,Expected_Abundance,Taxonomic_Domain
CCMetagen,Brassica cretica,0.003,16.372,Viridiplantae
CCMetagen,Chlamydomonas reinhardtii,4,9.654,Viridiplantae
CCMetagen,Citrus sinensis,0.5,3.237,Viridiplantae
CCMetagen,Malus domestica,47,28.35,Viridiplantae
CCMetagen,Medicago truncatula,0.7,6.85,Viridiplantae
CCMetagen,Oxalis drummondii,0,0.087,Viridiplantae
CCMetagen,Papaver somniferum,0.017,5.668,Viridiplantae
CCMetagen,Petunia x hybrida,0.001,0.014,Viridiplantae
CCMetagen,Prunus persica,10,9.125,Viridiplantae
CCMetagen,Pyrus x bretschneideri,1.4,4.207,Viridiplantae
CCMetagen,Theobroma cacao,0.209,7.851,Viridiplantae
CCMetagen,Zea mays,14.802,8.585,Viridiplantae
