"","Taxonomic_ID"
"1","22"
"2","469"
"3","544"
"4","547"
"5","570"
"6","586"
"7","613"
"8","662"
"9","953"
"10","1243"
"11","3337"
"12","3468"
"13","3932"
"14","4575"
"15","4685"
"16","5579"
"17","5598"
"18","7136"
"19","20339"
"20","22662"
"21","24961"
"22","49800"
"23","53922"
"24","58859"
"25","84565"
"26","121480"
"27","126747"
"28","140034"
"29","371959"
"30","553462"
"31","1193515"
"32","1335631"
"33","1912216"
"34","15367"
"35","69451"
"36","70774"
"37","80865"
"38","1478145"
"39","306405"
