Species_name,Taxonomic_ID
Acinetobacter baumannii,470
Acinetobacter pittii,48296
Acinetobacter radioresistens,40216
Citrobacter portucalensis,1639133
Enterobacter cancerogenus,69218
Enterobacter sp. SA187,1914861
Leuconostoc citreum,33964
Leuconostoc pseudomesenteroides,33968
Pseudomonas oryzihabitans,47885
Serratia symbiotica,138074
Sodalis glossinidius,63612
Sodalis phage phiSG1,373126
Sodalis praecaptivus,1239307
Staphylococcus capitis,29388
Streptococcus gordonii,1302
Arsenophonus nasoniae,638
Bartonnella apis,1686310
Cutibacterium acnes,1747
Frischella perrara,1267021
Gilliamella apicola,1196095
Lactobacillus kunkeei,148814
Lactococcus lactis,1358
Pantoea agglomerans,549
Pantoea ananatis,553
Tatumella sp. TA1,2487345
Apis mellifera,7460
