"","Taxonomic_ID","log2fc"
"5",481,-1.03156689075321
"10",772,-1.44314535755601
"11",775,-2.72802820515173
"12",942,-1.95342709014838
"14",1300,-2.57933147808557
"17",2012,1.23131306080675
"25",3386,-1.08336085644937
"28",3465,1.61550638024035
"29",3487,1.13668487370534
"38",3650,1.77059939298612
"41",3700,1.93145851287645
"42",3745,1.12822490253201
"43",3792,-1.06708905234948
"46",3931,-1.00100776643656
"47",3934,1.23131306080675
"57",4144,1.12244778837746
"61",4294,1.1870796115572
"62",4345,-1.05825236868488
"64",4381,1.42577394769714
"67",4434,1.71442043674476
"70",4479,1.24951560518114
"80",6214,-1.05564177073827
"83",6846,1.05854473830935
"88",7100,-3.77823181587348
"91",7135,-2.17109811448386
"93",7211,2.3072357020287
"94",7366,1.67178273909597
"100",10442,-1.02976082475423
"113",25673,1.53283443547096
"117",27319,1.15072632617477
"118",27482,2.80880513164807
"125",31953,1.05991044073442
"131",32262,2.41320765439717
"132",33415,-1.35773648478852
"133",33925,-1.92498292842153
"138",36668,-1.49032433561093
"141",41295,-1.03718038018886
"145",41819,1.60113488340984
"148",45053,1.14468742362968
"152",50234,1.70590110494399
"155",63083,1.8194443884553
"160",72294,-1.75336433804901
"165",80864,-1.0604163772862
"170",84566,-2.57725171403818
"173",85019,1.73326620899314
"183",118882,3.30084377610481
"188",183710,2.08244901386877
"190",186817,-1.13882437250699
"191",186818,1.31686163600813
"192",186822,-1.68231185929707
"193",186827,1.01152539049259
"195",267888,1.64186458249467
"202",541000,2.78304148633129
"203",629714,3.08891627403804
"205",766764,-1.07262773053285
"207",1129771,1.32005383493433
"208",1131492,1.35180384854532
"210",1285590,-2.48012005125647
"213",1799696,1.18448114025399
"216",1903409,-1.29338607688352
"217",1903410,-1.71797152814899
"218",1903411,-1.38639406287335
"223",403,-1.58942862926223
"224",2049,-1.65174441514202
"235",4894,1.64074038650318
"237",6246,-1.63644985418982
"239",6566,-1.5692830161429
"245",28983,1.2624528327129
"246",34353,-1.21341372769902
"248",34397,1.64074038650318
"250",41294,-2.15444762216749
"252",51383,1.19525633749443
"256",82115,-1.7937862900787
"258",85025,-2.95444560523438
"264",186803,2.58094098950946
"267",186828,-2.56490576234848
"285",1843491,-1.49127930123886
"291",815,-1.7844044615408
"292",1162,-1.17529938022033
"297",4305,1.26501647965303
"301",7600,-2.75820670521929
"303",31979,-1.89077594459203
"308",51653,-1.19949850371263
"311",115784,1.59143681337734
"312",126387,-1.70218783306991
"322",2008793,1.22182057025752
"329",4004,-1.53519207840364
"332",7143,-1.19287872366822
"346",128827,-2.25150530209484
"355",2092,-1.88154991624513
"359",6243,-2.93249463521705
"360",24966,-1.84216039953834
"362",27439,-2.67509614657131
"365",33362,-2.36388154296909
"366",34374,-1.31739209385724
"369",41873,-2.53834300406171
"371",46736,-1.34334204363366
"373",50527,-1.00365785487461
"375",72275,-1.34334204363366
"376",72293,-2.14772412357412
"377",73421,-1.650693219794
"379",84107,-1.18357773036527
"380",93133,-1.31739209385724
"382",145360,-1.18357773036527
"386",199477,-1.00365785487461
"390",267889,-1.650693219794
"391",474943,-1.41149627109753
"394",1499392,-1.34334204363366
"403",2731691,-1.3308642602045
"406",3433,-1.04689399831777
"411",5020,-1.65675613271591
"414",6524,-1.69215840033237
"418",33084,-1.04689399831777
"423",43707,-1.44360449228953
"428",171551,-1.62202501932319
"432",543314,-2.6036168491507
"433",549779,-1.33462232882426
"443",2528436,-1.04689399831777
"444",3051,-1.30596306518492
"447",28568,-1.02798415906717
"457",134623,-1.30596306518492
"463",563835,-1.22355477223504
"465",1884633,-1.02798415906717
"467",1890464,-1.30596306518492
